date,precipitation,irrigation,maxTranpiration,ET0,realvaporation,drainage
2022-06-01,0,0,4.79,4.78,0.81,0.35
2022-06-02,0,6.4,6.05,6.03,1.01,0.33
2022-06-03,0,0,2.05,2.03,0.33,0.32
2022-06-04,0,12.9,4.96,4.95,0.69,0.33
2022-06-05,0,6,4.52,4.5,0.61,0.39
2022-06-06,0,0,5.33,5.29,0.72,0.39
2022-06-07,4.8,0,4.36,4.34,0.56,0.43
2022-06-08,0,0,5.22,5.2,0.81,0.44
2022-06-09,0.8,0,2.85,2.84,0.44,0.42
2022-06-10,0,10,3.92,3.91,0.6,0.39
2022-06-11,0,3.2,6.38,6.37,0.96,0.36
2022-06-12,0,0,6.89,6.83,1.02,0.41
2022-06-13,0,1.1,6.66,6.61,0.92,0.36
2022-06-14,0,8,6.07,6.04,0.73,0.37
2022-06-15,0,4.9,5.4,5.34,0.49,0.28
2022-06-16,0,4.7,5.81,5.73,0.48,0.17
2022-06-17,0,0,6.41,6.35,0.49,0.06
2022-06-18,0,9.1,7.77,7.71,0.63,0.02
2022-06-19,0,8.1,8.18,7.9,0.59,0.02
2022-06-20,0,4.1,11.43,10.45,0.82,0.02
2022-06-21,0,20.5,9.65,9.06,0.7,0.02
2022-06-22,0,10.5,5.51,5.18,0.44,0.05
2022-06-23,0,4.6,5.98,5.65,0.48,0.04
2022-06-24,0,6.3,9.49,9.03,0.73,0.03
2022-06-25,0,7.1,9.47,8.95,0.73,0.04
2022-06-26,0,8.3,8.72,8.17,0.66,0.04
2022-06-27,0,9.2,7.44,6.92,0.56,0.03
2022-06-28,1.6,5.6,2.26,2.23,0.21,0.03
2022-06-29,0,5.2,6.71,6.33,0.82,0.02
2022-06-30,0,8.8,8.8,8.39,0.9,0.02
2022-07-01,0,7.2,9.73,9.2,0.82,0.03
2022-07-02,0,9.7,8.51,8.07,0.77,0.04
2022-07-03,0,7.1,9.19,8.6,0.83,0.04
2022-07-04,0,7.1,8.74,8.21,0.8,0.03
2022-07-05,0,7.2,8.43,8.01,0.78,0.03
2022-07-06,0,6.1,5.61,5.46,0.53,0.03
2022-07-07,11.6,6.7,7.63,7.35,0.73,0.04
2022-07-08,0,0,7.26,7.24,0.86,0.08
2022-07-09,0,9.8,7.84,7.8,0.93,0.02
2022-07-10,0,6.9,8.9,8.82,1.06,0.02
2022-07-11,0,7.8,7.77,7.62,0.92,0.03
2022-07-12,0,6,5.79,5.63,0.69,0.03
2022-07-13,0,6,8.21,7.98,0.97,0.02
2022-07-14,0,7.2,9.68,9.33,1.03,0.02
2022-07-15,0,7,9.75,9.38,0.97,0.02
2022-07-16,0,8,8.04,7.7,0.8,0.02
2022-07-17,0,2.8,7.5,7.17,0.75,0.02
2022-07-18,0,4.4,8.17,7.93,0.82,0.01
2022-07-19,0,4.9,9.28,9.12,0.93,0.01
2022-07-20,0,7.8,9.07,8.89,0.9,0.01
2022-07-21,0,8.1,8.99,8.63,0.9,0.02
2022-07-22,0,9.5,9.21,8.67,0.91,0.02
2022-07-23,0,11.7,11.44,10.45,1.1,0.03
2022-07-24,0,8.2,8.61,7.81,0.83,0.03
2022-07-25,0,10.7,7.22,6.61,0.69,0.03
2022-07-26,0,10.4,7.07,6.38,0.66,0.03
2022-07-27,0,6.2,5.85,5.51,0.55,0.03
2022-07-28,0,7.2,6.29,5.96,0.58,0.02
2022-07-29,1.6,6.3,6.77,6.63,0.64,0.01
2022-07-30,0,5.3,6.96,6.84,0.83,0.02
2022-07-31,0,7,8.64,8.43,0.88,0.02
2022-08-01,0,7.2,9.34,9.06,0.92,0.03
2022-08-02,0,6.3,6.78,6.68,0.64,0.02
2022-08-03,0,7,7.84,7.79,0.72,0.01
2022-08-04,0,6.7,9.35,9.17,0.85,0
2022-08-05,0,5.3,8.84,8.51,0.73,0
2022-08-06,0,5.1,9.3,9.1,0.66,0
2022-08-07,0,3.8,5.64,5.61,0.4,0
2022-08-08,4.2,4.4,5.75,5.7,0.5,0
2022-08-09,2,2.6,5.83,5.77,0.69,0
2022-08-10,0,2.1,6.92,6.86,0.82,0
2022-08-11,0,6.3,7.42,7.37,0.88,0
2022-08-12,0.8,7.7,5.51,5.45,0.65,0
2022-08-13,0,5.8,6.43,6.33,0.76,0
2022-08-14,0,7.5,8.03,7.82,0.84,0
2022-08-15,0,7.3,8.42,7.71,0.6,0
2022-08-16,0,9.6,6.63,6.15,0.42,0
2022-08-17,0,0.2,6.67,6.15,0.42,0
2022-08-18,33.2,0.1,2.86,2.8,0.32,0.05
2022-08-19,9.8,0.1,2.01,2,0.24,0.27
2022-08-20,0,0,6.17,6.16,0.73,0.27
2022-08-21,0,0,6.64,6.63,0.79,0.13
2022-08-22,0,0,6.17,6.15,0.73,0.04
2022-08-23,0,3,6.09,5.99,0.72,0
2022-08-24,0,6.4,5.99,5.52,0.7,0
2022-08-25,0,6.4,5.93,5.31,0.59,0
2022-08-26,0,7.5,5.7,5.19,0.54,0
2022-08-27,0.6,3.3,3.85,3.66,0.37,0
2022-08-28,0,3.2,3.66,3.59,0.43,0.01
2022-08-29,0,4.8,5.53,5.44,0.53,0.02
2022-08-30,1.6,5.4,4.75,4.73,0.37,0.04
2022-08-31,2.2,0,2.43,2.41,0.29,0.06
2022-09-01,12.6,0.1,1.81,1.79,0.21,0.13
2022-09-02,0.2,0,3.76,3.75,0.45,0.3
2022-09-03,0,0,2.34,2.32,0.28,0.24
2022-09-04,0,0,3.96,3.94,0.47,0.17
2022-09-05,0,0,4.82,4.8,0.57,0.13
2022-09-06,1,0,4.88,4.85,0.58,0.1
2022-09-07,0,0,4.96,4.95,0.59,0.08
2022-09-08,0,0,4.81,4.8,0.56,0.06
2022-09-09,5,5.7,5.74,5.69,0.58,0.03
2022-09-10,0,5.5,4,4,0.48,0.02
2022-09-11,0,5.5,4.05,4.03,0.48,0.02
2022-09-12,0,5.5,4.73,4.71,0.56,0.05
2022-09-13,0,5.5,4.93,4.91,0.59,0.12
2022-09-14,0,5.5,3.96,3.96,0.46,0.16
2022-09-15,17.8,5.5,3.06,3.05,0.36,0.19
2022-09-16,0,0,6.86,6.84,0.81,0.19
2022-09-17,41.4,0.1,1.2,1.19,0.14,0.47
2022-09-18,0,0,4.46,4.44,0.53,0.29
2022-09-19,0,0,4.55,4.54,0.54,0.26
2022-09-20,0,0,3.99,3.98,0.47,0.24
2022-09-21,0,0,3.16,3.15,0.38,0.22
2022-09-22,0,0,3.39,3.38,0.4,0.23
2022-09-23,0,0,3.94,3.93,0.47,0.21
2022-09-24,16.6,0,1.92,1.91,0.23,0.27
2022-09-25,0,0,1.24,1.23,0.15,0.27
2022-09-26,0.4,0,1.91,1.91,0.23,0.22
2022-09-27,0,0,4.86,4.83,0.58,0.2
2022-09-28,0.6,0,3.3,3.26,0.39,0.18
2022-09-29,5.2,0,2.48,2.44,0.29,0.18